service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA+b03u3","1","1","1","1","1","0","0","20181209","20191214"
"TA+b03tw","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0ab8","0","0","1","1","0","0","0","20181209","20191214"
"TA+b0ab9","0","0","1","1","1","0","0","20181209","20191214"
"TA+b066s","0","1","1","1","1","0","0","20181209","20191214"
"TA+b04pv","0","1","1","1","1","0","0","20181209","20191214"
"TA+b0aeb","0","0","0","0","0","1","0","20181209","20191214"
"TA+b05zs","0","0","0","0","0","1","0","20181209","20191214"
"TA+b10e2","0","0","0","0","0","1","0","20181209","20191214"
"TA+b11sx","0","0","0","0","0","1","0","20181209","20191214"
"TA+b03m7","0","0","0","0","0","0","1","20181209","20191214"
"TA+b03tz","1","1","1","1","1","0","0","20181209","20191214"
"TA+b03tx","0","0","0","0","0","0","1","20181209","20191214"
"TA+b03ty","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11pp","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11qc","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0cei","0","0","0","0","0","1","0","20181209","20191214"
"TA+b11qs","1","1","1","1","1","1","0","20181209","20191214"
"TA+b11pk","1","1","1","1","1","1","1","20181209","20191214"
"TA+b11qd","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11zf","1","1","1","1","1","1","0","20181209","20191214"
"TA+b02oh","1","1","1","1","1","0","0","20181209","20191214"
"TA+b09rc","0","0","0","0","0","1","0","20181209","20191214"
"TA+b11sh","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0717","1","1","1","1","1","1","1","20181209","20191214"
"TA+b02wy","1","1","1","1","1","1","1","20181209","20191214"
"TA+b0i2g","1","1","1","1","1","1","0","20181209","20191214"
"TA+b0pon","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11zg","1","1","1","1","1","1","0","20181209","20191214"
"TA+b11zh","1","1","1","1","1","0","0","20181209","20191214"
"TA+b09a4","0","0","0","0","0","0","1","20181209","20191214"
"TA+b0cve","0","0","0","0","0","1","0","20181209","20191214"
"TA+b04sf","0","0","0","1","1","0","0","20181209","20191214"
"TA+b11zi","1","1","1","1","1","1","1","20181209","20191214"
"TA+b05m5","0","0","0","0","0","1","0","20181209","20191214"
"TA+b04si","0","0","0","1","1","1","0","20181209","20191214"
"TA+b022n","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0cgb","0","0","0","0","1","0","0","20181209","20191214"
"TA+b0yph","0","0","0","1","0","0","0","20181209","20191214"
"TA+b0wu8","1","1","1","1","1","0","0","20181209","20191214"
"TA+b04sk","0","0","0","0","0","0","1","20181209","20191214"
"TA+b04sm","1","1","1","1","1","0","1","20181209","20191214"
"TA+b00ts","0","0","0","0","1","0","0","20181209","20191214"
"TA+b0noi","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0i2f","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0i2e","1","1","1","1","0","0","1","20181209","20191214"
"TA+b05m4","0","0","0","0","0","1","0","20181209","20191214"
"TA+b11qo","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11pz","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0ahl","0","0","0","0","0","0","1","20181209","20191214"
"TA+b06lu","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11zj","0","0","0","0","1","1","0","20181209","20191214"
"TA+b11zk","0","1","1","1","1","1","0","20181209","20191214"
"TA+b11zl","1","1","1","1","0","0","1","20181209","20191214"
"TA+b11zm","1","1","1","0","1","0","1","20181209","20191214"
"TA+b11zn","1","0","1","0","1","1","1","20181209","20191214"
"TA+b11zo","1","1","1","1","0","0","1","20181209","20191214"
"TA+b11zp","0","1","1","1","0","0","0","20181209","20191214"
"TA+b11zq","0","1","0","0","0","1","0","20181209","20191214"
"TA+b11zr","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0cdl","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11zs","1","1","1","1","1","1","1","20181209","20191214"
"TA+b11zt","1","1","1","1","0","1","1","20181209","20191214"
"TA+b11zu","1","1","1","1","0","1","0","20181209","20191214"
"TA+b049x","0","0","0","1","0","0","0","20181209","20191214"
"TA+b01dp","1","1","1","0","0","0","0","20181209","20191214"
"TA+b0axm","0","0","0","0","0","0","1","20181209","20191214"
