agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
"254","Dallenwil-Wirzweli","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"149","Niederhornbahn AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"208","Davos Klosters Bergbahnen (lkp)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"109","Davos Klosters Bergbahnen (dpb)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"111","Sportbahnen Davos","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"207","Davos Klosters Bergbahnen (bbbj)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"293","Glaris-Rinerhorn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"236","Chur-Dreibündenstein","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"219","Arosa Bergbahnen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"239","Niederhornbahn AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"147","Bergbahnen Engadin St.Moritz AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"133","Celeriner Bergbahnen - Punt Muragl-Muottas Muragl","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
